mkt_shr,Restaurant.name,Review.date,score_t0,score_t1,score_t2,score_t3,score_t4
0.0226628895184136,El Legendario Mexican Restaurant,201603,24.0,49.0,2.0,25.0,32.0
0.0056657223796034,El Ranchon,201603,35.0,0.0,0.0,0.0,9.0
0.0169971671388102,El Sirenito,201603,8.0,6.0,73.0,24.0,27.0
0.0056657223796034,El Sombrero Family Mexican Restaurant,201603,2.0,0.0,17.0,0.0,0.0
0.0821529745042493,Fogón Cocina Mexicana,201603,251.0,115.0,78.0,139.0,167.0
0.0453257790368272,Fonda La Catrina,201603,93.0,72.0,56.0,83.0,92.0
0.0084985835694051,Gordito’s,201603,17.0,13.0,0.0,5.0,47.0
0.039660056657223795,Gracia,201603,57.0,60.0,92.0,83.0,47.0
0.03541076487252125,La Carta de Oaxaca,201603,31.0,108.0,71.0,41.0,90.0
0.03541076487252125,La Cocina Oaxaquena,201603,56.0,113.0,62.0,25.0,71.0
0.012747875354107648,Los Agaves,201603,0.0,17.0,26.0,22.0,15.0
0.036827195467422094,Mezcaleria Oaxaca,201603,37.0,37.0,82.0,105.0,146.0
0.0226628895184136,Pecado Bueno,201603,73.0,43.0,11.0,43.0,5.0
0.024079320113314446,Plaza Garibaldi,201603,7.0,41.0,32.0,4.0,15.0
0.0453257790368272,Poquitos,201603,57.0,70.0,132.0,78.0,134.0
0.018413597733711047,Rosita’s Mexican Grill,201603,71.0,107.0,17.0,24.0,23.0
0.028328611898016998,Senor Moose Cafe,201603,60.0,26.0,45.0,52.0,57.0
0.11189801699716714,Tacos Chukis,201603,242.0,157.0,238.0,135.0,97.0
0.0113314447592068,Taquería Tequila Authentic Mexican Food,201603,58.0,66.0,0.0,32.0,0.0
0.0339943342776204,Villa Escondida,201603,46.0,44.0,67.0,14.0,83.0
0.03551401869158879,Barrio Mexican Kitchen & Bar,201604,50.0,37.0,9.0,11.0,50.0
0.052336448598130844,Cactus Restaurants,201604,53.0,66.0,33.0,51.0,51.0
0.013084112149532711,Cafetal Quilombo,201604,16.0,15.0,0.0,15.0,14.0
0.022429906542056073,Cantina Leña,201604,18.0,15.0,46.0,52.0,4.0
0.014953271028037384,Casa Patrón,201604,23.0,17.0,0.0,18.0,3.0
0.026168224299065422,Casco Antiguo,201604,23.0,24.0,15.0,7.0,49.0
0.05046728971962617,El Borracho,201604,86.0,17.0,46.0,16.0,34.0
0.013084112149532711,El Camión,201604,0.0,7.0,22.0,-1.0,9.0
0.013084112149532711,El Legendario Mexican Restaurant,201604,6.0,12.0,15.0,10.0,25.0
0.003738317757009346,El Ranchon,201604,0.0,0.0,12.0,13.0,0.0
0.007476635514018692,El Sirenito,201604,17.0,14.0,-1.0,0.0,15.0
0.003738317757009346,El Sombrero Family Mexican Restaurant,201604,0.0,0.0,0.0,8.0,33.0
0.07289719626168224,Fogón Cocina Mexicana,201604,171.0,123.0,70.0,193.0,63.0
0.037383177570093455,Fonda La Catrina,201604,4.0,41.0,71.0,25.0,89.0
0.018691588785046728,Gordito’s,201604,5.0,36.0,37.0,0.0,25.0
0.029906542056074768,Gracia,201604,62.0,118.0,24.0,12.0,0.0
0.03551401869158879,La Carta de Oaxaca,201604,92.0,68.0,23.0,31.0,23.0
0.020560747663551402,La Cocina Oaxaquena,201604,14.0,56.0,1.0,16.0,26.0
0.001869158878504673,Los Agaves,201604,0.0,4.0,0.0,0.0,0.0
0.03551401869158879,Mezcaleria Oaxaca,201604,13.0,10.0,99.0,39.0,12.0
0.013084112149532711,Pecado Bueno,201604,24.0,33.0,0.0,13.0,37.0
0.011214953271028037,Plaza Garibaldi,201604,0.0,-1.0,7.0,0.0,38.0
0.044859813084112146,Poquitos,201604,36.0,35.0,61.0,64.0,39.0
0.009345794392523364,Rosita’s Mexican Grill,201604,8.0,5.0,0.0,11.0,3.0
0.03364485981308411,Senor Moose Cafe,201604,5.0,83.0,16.0,45.0,9.0
0.09906542056074766,Tacos Chukis,201604,116.0,116.0,55.0,137.0,99.0
