,Address,Business info,Price range,Restaurant name,Review counts,Yes/No
62,"5905 Airport Way S, Seattle, WA 98108",Alcohol,20.5,Fonda La Catrina,774,Full Bar
63,"5905 Airport Way S, Seattle, WA 98108",Happy Hour,20.5,Fonda La Catrina,774,Yes
64,"5905 Airport Way S, Seattle, WA 98108",Outdoor Seating,20.5,Fonda La Catrina,774,Yes
65,"5905 Airport Way S, Seattle, WA 98108",Wi-Fi,20.5,Fonda La Catrina,774,No
66,"5905 Airport Way S, Seattle, WA 98108",Has TV,20.5,Fonda La Catrina,774,No
67,"5905 Airport Way S, Seattle, WA 98108",Waiter Service,20.5,Fonda La Catrina,774,Yes
68,"5905 Airport Way S, Seattle, WA 98108",Caters,20.5,Fonda La Catrina,774,No
69,"5905 Airport Way S, Seattle, WA 98108",Gender Neutral Restrooms,20.5,Fonda La Catrina,774,Yes
70,"5431 Ballard Ave NW, Seattle, WA 98107",Takes Reservations,20.5,La Carta de Oaxaca,1199,No
71,"5431 Ballard Ave NW, Seattle, WA 98107",Delivery,20.5,La Carta de Oaxaca,1199,No
72,"5431 Ballard Ave NW, Seattle, WA 98107",Take-out,20.5,La Carta de Oaxaca,1199,Yes
73,"5431 Ballard Ave NW, Seattle, WA 98107",Accepts Credit Cards,20.5,La Carta de Oaxaca,1199,Yes
74,"5431 Ballard Ave NW, Seattle, WA 98107",Accepts Apple Pay,20.5,La Carta de Oaxaca,1199,No
75,"5431 Ballard Ave NW, Seattle, WA 98107",Good For,20.5,La Carta de Oaxaca,1199,Dinner
76,"5431 Ballard Ave NW, Seattle, WA 98107",Parking,20.5,La Carta de Oaxaca,1199,Street
77,"5431 Ballard Ave NW, Seattle, WA 98107",Bike Parking,20.5,La Carta de Oaxaca,1199,Yes
78,"5431 Ballard Ave NW, Seattle, WA 98107",Wheelchair Accessible,20.5,La Carta de Oaxaca,1199,Yes
79,"5431 Ballard Ave NW, Seattle, WA 98107",Good for Kids,20.5,La Carta de Oaxaca,1199,Yes
80,"5431 Ballard Ave NW, Seattle, WA 98107",Good for Groups,20.5,La Carta de Oaxaca,1199,Yes
81,"5431 Ballard Ave NW, Seattle, WA 98107",Attire,20.5,La Carta de Oaxaca,1199,Casual
82,"5431 Ballard Ave NW, Seattle, WA 98107",Ambience,20.5,La Carta de Oaxaca,1199,Casual
83,"5431 Ballard Ave NW, Seattle, WA 98107",Noise Level,20.5,La Carta de Oaxaca,1199,Loud
84,"5431 Ballard Ave NW, Seattle, WA 98107",Alcohol,20.5,La Carta de Oaxaca,1199,Full Bar
85,"5431 Ballard Ave NW, Seattle, WA 98107",Outdoor Seating,20.5,La Carta de Oaxaca,1199,Yes
86,"5431 Ballard Ave NW, Seattle, WA 98107",Wi-Fi,20.5,La Carta de Oaxaca,1199,No
87,"5431 Ballard Ave NW, Seattle, WA 98107",Has TV,20.5,La Carta de Oaxaca,1199,No
88,"5431 Ballard Ave NW, Seattle, WA 98107",Waiter Service,20.5,La Carta de Oaxaca,1199,Yes
89,"5431 Ballard Ave NW, Seattle, WA 98107",Caters,20.5,La Carta de Oaxaca,1199,No
90,"5431 Ballard Ave NW, Seattle, WA 98107",Gender Neutral Restrooms,20.5,La Carta de Oaxaca,1199,Yes
91,"5405 Leary Ave NW, Seattle, WA 98107",Takes Reservations,20.5,Asadero Ballard,446,No
92,"5405 Leary Ave NW, Seattle, WA 98107",Delivery,20.5,Asadero Ballard,446,No
93,"5405 Leary Ave NW, Seattle, WA 98107",Take-out,20.5,Asadero Ballard,446,No
94,"5405 Leary Ave NW, Seattle, WA 98107",Accepts Credit Cards,20.5,Asadero Ballard,446,Yes
95,"5405 Leary Ave NW, Seattle, WA 98107",Accepts Apple Pay,20.5,Asadero Ballard,446,No
96,"5405 Leary Ave NW, Seattle, WA 98107",Accepts Google Pay,20.5,Asadero Ballard,446,No
97,"5405 Leary Ave NW, Seattle, WA 98107",Accepts Bitcoin,20.5,Asadero Ballard,446,No
98,"5405 Leary Ave NW, Seattle, WA 98107",Good For,20.5,Asadero Ballard,446,"Lunch, Dinner"
99,"5405 Leary Ave NW, Seattle, WA 98107",Parking,20.5,Asadero Ballard,446,Street
100,"5405 Leary Ave NW, Seattle, WA 98107",Bike Parking,20.5,Asadero Ballard,446,Yes
101,"5405 Leary Ave NW, Seattle, WA 98107",Wheelchair Accessible,20.5,Asadero Ballard,446,Yes
102,"5405 Leary Ave NW, Seattle, WA 98107",Good for Kids,20.5,Asadero Ballard,446,Yes
103,"5405 Leary Ave NW, Seattle, WA 98107",Good for Groups,20.5,Asadero Ballard,446,Yes
104,"5405 Leary Ave NW, Seattle, WA 98107",Attire,20.5,Asadero Ballard,446,Casual
105,"5405 Leary Ave NW, Seattle, WA 98107",Ambience,20.5,Asadero Ballard,446,"Casual, Trendy"
106,"5405 Leary Ave NW, Seattle, WA 98107",Noise Level,20.5,Asadero Ballard,446,Average
107,"5405 Leary Ave NW, Seattle, WA 98107",Alcohol,20.5,Asadero Ballard,446,Full Bar
108,"5405 Leary Ave NW, Seattle, WA 98107",Happy Hour,20.5,Asadero Ballard,446,No
109,"5405 Leary Ave NW, Seattle, WA 98107",Outdoor Seating,20.5,Asadero Ballard,446,No
110,"5405 Leary Ave NW, Seattle, WA 98107",Wi-Fi,20.5,Asadero Ballard,446,No
111,"5405 Leary Ave NW, Seattle, WA 98107",Has TV,20.5,Asadero Ballard,446,No
112,"5405 Leary Ave NW, Seattle, WA 98107",Dogs Allowed,20.5,Asadero Ballard,446,No
113,"5405 Leary Ave NW, Seattle, WA 98107",Waiter Service,20.5,Asadero Ballard,446,Yes
114,"5405 Leary Ave NW, Seattle, WA 98107",Drive-Thru,20.5,Asadero Ballard,446,No
115,"5405 Leary Ave NW, Seattle, WA 98107",Caters,20.5,Asadero Ballard,446,No
116,"1521 1st Ave, Seattle, WA 98101",Has Dairy-free Options,20.5,El Borracho,709,Yes
117,"1521 1st Ave, Seattle, WA 98101",Liked by Vegans,20.5,El Borracho,709,Yes
118,"1521 1st Ave, Seattle, WA 98101",Has Gluten-free Options,20.5,El Borracho,709,Yes
119,"1521 1st Ave, Seattle, WA 98101",Liked by Vegetarians,20.5,El Borracho,709,Yes
120,"1521 1st Ave, Seattle, WA 98101",Takes Reservations,20.5,El Borracho,709,No
